Date,Beans_brown_sold_loose,Beef_boneless,Frozen_chicken,Gari_white_sold_loose,Rice_imported_high_quality_sold_loose,Titus_frozen,Tomato,Yam_tuber,Fuel price,Exchange Rate
31/01/2017,353.6000061,1249.47998,1419.75,219.5599976,402.0100098,884.8200073,247.5500031,210.5800018,148.6900024,304.8099976
28/02/2017,337.1099854,1270.670044,1428.949951,260.9400024,410.5799866,942.2299805,236.6199951,215.5500031,149.8099976,305.8999939
31/03/2017,353.2799988,1281.709961,1555.51001,273.6700134,418.7099915,964.6300049,268.6400146,255.8600006,149.3899994,305.5499878
30/04/2017,357.1900024,1323.099976,1606.630005,288.4500122,388.4599915,935,285.7200012,250.3000031,149.8600006,305.0400085
31/05/2017,365.8599854,1378.910034,1605.969971,292.9700012,410.5499878,969.6400146,339.7200012,279.1499939,150.6900024,305.2099915
30/06/2017,374.2600098,1393.420044,1645.290039,315.6099854,415.8399963,1012.179993,375,292.0599976,150.2899933,305.3599854
31/07/2017,382.3500061,1376.910034,1623.839966,317.1000061,409.2000122,1014.539978,394.1300049,294.1199951,148.2200012,305.1700134
31/08/2017,370.25,1276.849976,1529.25,310.1499939,384.3500061,998.0100098,431.2999878,343.3900146,144.4400024,305.3900146
30/09/2017,404.8399963,1324.930054,1570.26001,301.9899902,398.0100098,973.9899902,322.3900146,259.5100098,144.5200043,305.1199951
31/10/2017,382.5799866,1312.72998,1580.130005,268.1000061,368.8999939,1050.380005,291.5299988,223.6300049,145.9900055,305.3999939
30/11/2017,369.7799988,1286.859985,1571.47998,251.9100037,360.8299866,1125.880005,286.3900146,212.2700043,145.6000061,305.8099976
31/12/2017,361.9700012,1236.439941,1708.640015,199.6799927,371.2099915,1109.209961,276.1799927,211.6100006,171.7899933,305.2799988
31/01/2018,385.5299988,1298.699951,1547.5,229.2599945,360.7600098,894.7000122,271.9899902,226.5099945,190.8800049,305.3999939
28/02/2018,387.480011,1274.709961,1548.869995,210.2100067,365.2099915,901.4899902,267.1000061,230.8500061,172.4600067,305.2399902
31/03/2018,395.3399963,1262.51001,1544.949951,209.1199951,363.3299866,905.7600098,267.0899963,254.5099945,163.3899994,305.1099854
30/04/2018,395.1900024,1257.72998,1537.849976,208.2100067,369.3500061,898.6199951,289.4899902,279.6099854,151.3999939,305.3299866
31/05/2018,407.730011,1275.77002,1536.52002,216.0099945,374.6300049,921.039978,307.1400146,291.3299866,150.1699982,305.3699951
30/06/2018,418.7799988,1271.540039,1537.25,216.7200012,373.4700012,950.2800293,317.6700134,285.8399963,148.0899963,305.3099976
31/07/2018,411.019989,1262.72998,1541.369995,200.6699982,370.7900085,924.7700195,336.2900085,280.8299866,146.8200073,305.5599976
31/08/2018,410.1600037,1281.02002,1533.219971,198.8200073,375.019989,946.5499878,336.6499939,292.9700012,146.8999939,305.769989
30/09/2018,416.0700073,1281.640015,1534.180054,195.8600006,371.3200073,941.5,328.2600098,280.2799988,147.3300018,306
31/10/2018,411.0499878,1260.589966,1558.219971,188.3899994,373.0400085,923.9199829,306.5899963,252.2100067,147.2299957,306.2099915
30/11/2018,396.730011,1251.449951,1551.25,183.5899963,376.6300049,1105.170044,294.3599854,239.1499939,147.4600067,306.4200134
31/12/2018,386.7799988,1270.810059,1625.050049,166.6399994,370.5700073,926.4199829,271.5100098,212.6499939,145.7799988,306.3500061
31/01/2019,382.7600098,1273.98999,1614.189941,165.8000031,366.0400085,935.0200195,265.4899902,211.2100067,145.6999969,306.269989
28/02/2019,373.9100037,1254.98999,1632.709961,166.6100006,364.3900146,945.710022,256.5100098,206.4900055,145.2899933,306.4200134
31/03/2019,368.0700073,1253.47998,1910.699951,163.5099945,361.8999939,945.6599731,240.3000031,200.8800049,145.3200073,306.4599915
30/04/2019,372.8399963,1271.099976,1681.109985,163.3699951,357.5499878,974.9400024,257.25,222.3600006,145.9199982,306.4500122
31/05/2019,365.3200073,1268.949951,1701.619995,161.5500031,361.3900146,949.2199707,249.5200043,216.0299988,145.0299988,306.4500122
30/06/2019,342.8200073,1240.439941,1752.969971,145.3099976,352.8299866,940.5700073,226.0700073,182.1499939,145.3600006,306.4400024
31/07/2019,327.1799927,1246.780029,1783.380005,151.7299957,356.1000061,927.6099854,203.5500031,170.8500061,145.0299988,306.4299927
31/08/2019,307.269989,1244.22998,1770.449951,154.1000061,356.6099854,949.0499878,223.8600006,190.0399933,145.4799957,306.4200134
30/09/2019,318.9899902,1257.579956,1901.640015,154.5500031,371.1300049,952.3099976,227.5,190.2299957,145.5299988,306.4599915
31/10/2019,308.9299927,1281.589966,1993.97998,162.4199982,382.5700073,956.75,233.3800049,179.75,145.4700012,306.4500122
30/11/2019,307.2999878,1293,2008.390015,160.0599976,445.4500122,975.3900146,251.2100067,203.1999969,145.9400024,306.4500122
31/12/2019,299.480011,1292.52002,1995.579956,159.3899994,459.8999939,981.210022,263.8999939,206.8200073,145.3500061,306.4599915
31/01/2020,285.6099854,1289.800049,1983.140015,159.6399994,453.2399902,962.960022,237.2200012,193.0399933,145.3699951,306.4599915
29/02/2020,276.2999878,1279.599976,1948.589966,159.3300018,444.0400085,948.1400146,241.7799988,189.5299988,145.4100037,327.0599976
31/03/2020,267.8099976,1276.099976,1941.040039,164.6000061,438.6600037,960.4699707,255.3300018,206.1199951,145.3999939,360.5
30/04/2020,277.0499878,1307.680054,1958.099976,190.2299957,471.8399963,986.8800049,277,230.0899963,130.8399963,360.5
31/05/2020,277.4899902,1306.469971,1944.560059,196.1600037,463.2099915,1004.659973,278.230011,236.8999939,129.6699982,360.5
30/06/2020,289.8900146,1317.040039,1950.469971,214.7299957,479.7399902,1018.789978,294.4599915,250.6999969,128.8800049,360.5
31/07/2020,300.2600098,1330.829956,1955.540039,222.4700012,490.4400024,1021.080017,304.0100098,256.4400024,143.6300049,376.7900085
31/08/2020,305.4299927,1339.73999,1948.119995,224.5299988,501.7099915,1022.700012,289.8599854,256.0599976,148.7799988,379.5
30/09/2020,312.6600037,1351.660034,1931.949951,235.7700043,516.1300049,1032.75,286.9200134,245.6199951,161.0599976,379.5499878
31/10/2020,326.8800049,1380.140015,1932.959961,244.9600067,530.3200073,1051.359985,307.6300049,242.8699951,161.1699982,379.5
30/11/2020,334.6600037,1393.77002,1936.969971,241.25,549.9799805,1052.310059,316.1600037,236.25,167.2700043,379.5
31/12/2020,336.2399902,1405.719971,1939.170044,238.6499939,550.9400024,1057.969971,310.1000061,233.4799957,165.6999969,379.5
31/01/2021,337.0899963,1421.140015,1927.540039,243.7599945,551.5700073,1066.880005,289.6600037,234.6699982,164.1000061,379.5
28/02/2021,351.6799927,1435.869995,1919.180054,259.5899963,537.3699951,1062.069946,269.1799927,242.8200073,166.2400055,379.5
31/03/2021,368.980011,1456.030029,1926.859985,274.0299988,544.210022,1069.280029,267.4500122,244.8200073,172.6799927,379.5
30/04/2021,378.8200073,1481.23999,1928.219971,276.3299866,540.5800171,1091.199951,277.2600098,252.8000031,166.3800049,397.1499939
31/05/2021,439.2200012,1513.430054,1944.800049,301.8800049,544.0900269,1115.800049,303.5100098,269.980011,168.0599976,409.6600037
30/06/2021,471.2399902,1567.26001,1982.869995,324.2600098,557.9799805,1151.079956,335.4599915,287.5400085,165.6100006,409.6300049
31/07/2021,485.4400024,1660.76001,2049.659912,329.2000122,552.7999878,1327.439941,414.8299866,308.7200012,165.9100037,409.6499939
31/08/2021,496.0299988,1698.180054,2091.340088,323.0100098,546.710022,1375.609985,396.3800049,305.480011,164.9100037,410.019989
30/09/2021,492.1300049,1768.140015,2109.810059,301.5799866,546.7700195,1426.420044,342.25,306.8699951,164.8500061,410.4100037
31/10/2021,478.7600098,1768.780029,2128.909912,292.5700073,553.2299805,1424.579956,347.4700012,313.0499878,165.6000061,410.8099976
30/11/2021,490.1900024,1812.030029,2164.76001,302.2799988,568.75,1451.349976,349.6000061,327.5299988,167.6000061,411.1300049
31/12/2021,494.8299866,1846.390015,2256.810059,299.5100098,571.6199951,1463.599976,357.0299988,328.75,165.7700043,414.5400085
31/01/2022,498.8500061,1864.699951,2275.780029,307.5299988,579.1599731,1450.72998,367.0100098,331.2399902,166.3999939,416.1499939
28/02/2022,509.6499939,1919.52002,2351.310059,313.269989,594.7999878,1498.810059,393.0799866,339.7600098,170.4199982,415.8299866
31/03/2022,528.5200195,1963.630005,2386.949951,317.3500061,606.4400024,1520.650024,408.8200073,354.8900146,185.3000031,415.3999939
30/04/2022,530.6199951,2026.849976,2380.810059,318.7399902,612.25,1554.349976,426.5400085,361.2000122,172.6100006,415.0799866
31/05/2022,526.9000244,1971.660034,2350.47998,366.6499939,628.960022,1603.569946,438.6900024,384.0599976,173.0800018,415.019989
30/06/2022,586.5100098,2013.430054,2443.060059,364.6300049,665.0700073,1613.630005,468.9200134,402.3099976,175.8899994,415.1099854
31/07/2022,547.75,2063.080078,2423.340088,314.6600037,632.9299927,1594.369995,435.0499878,379.5,190.0099945,419.9700012
31/08/2022,545.6099854,2141.179932,2531.52002,305.9200134,654.2600098,1648.75,430.9299927,403.6300049,189.4600067,428.75
30/09/2022,556.8099976,2199.370117,2569.629883,309.6900024,668.5300293,1671.449951,445.1199951,409.230011,191.6499939,436.1199951
31/10/2022,564.6900024,2266.23999,2601,317.8999939,689.3200073,1659.219971,454.4599915,409.8599854,195.2899933,441.8800049
30/11/2022,578.5499878,2337.459961,2651.939941,325.8200073,704.1300049,1694.26001,455.1300049,421.0799866,202.4799957,445.9700012
31/12/2022,586.1400146,2377.290039,2694.600098,332.9500122,724.4099731,1725.079956,458.4200134,425.480011,206.2599945,454.9700012
31/01/2023,593.960022,2418.909912,2754.449951,337.519989,744.1199951,1733.569946,467.0400085,431.3599854,257.1199951,460.4299927
28/02/2023,600.4500122,2473,2813.649902,348.230011,752.4099731,1777.959961,480.1900024,444.3500061,263.7600098,460.4299927
31/03/2023,596.960022,2479.610107,2827.600098,353.1600037,765.1500244,1781.660034,466.6000061,443.019989,264.2900085,460.4200134
30/04/2023,615.6699829,2495.689941,2853.159912,362.5,781.5,1796.459961,485.1000061,444.6900024,254.0599976,460.7000122
31/05/2023,629.75,2520.52002,2889.98999,371.4200134,793.0100098,1819.26001,498.3399963,457.25,238.1100006,607.75
